Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Q1 2001,-1.1,1.4,3.5,6.3,4.2,3.9,4.8,4.9,5.3,7.4,7.0,8.6,10645.9,113.3,139.0,32.8
Q2 2001,2.1,5.1,-0.3,1.6,4.4,2.8,3.7,4.9,5.5,7.5,7.1,7.3,11407.2,115.2,139.0,34.7
Q3 2001,-1.3,0.0,9.8,10.1,4.8,1.1,3.2,4.6,5.3,7.3,6.9,6.6,9563.0,117.5,141.0,43.7
Q4 2001,1.1,2.3,-4.9,-4.6,5.5,-0.3,1.9,4.2,5.1,7.2,6.8,5.2,10707.7,119.8,136.0,35.3
Q1 2002,3.7,5.1,10.1,10.9,5.7,1.3,1.7,4.5,5.4,7.6,7.0,4.8,10775.7,122.1,137.0,26.1
Q2 2002,2.2,3.8,2.0,5.2,5.8,3.2,1.7,4.5,5.4,7.6,6.8,4.8,9384.0,125.4,136.0,28.4
Q3 2002,2.0,3.8,-0.5,1.5,5.7,2.2,1.6,3.4,4.5,7.3,6.2,4.8,7773.6,128.6,139.0,45.1
Q4 2002,0.3,2.4,1.9,3.8,5.9,2.4,1.3,3.1,4.3,7.0,6.1,4.5,8343.2,131.3,142.0,42.6
Q1 2003,2.1,4.6,1.1,4.0,5.9,4.2,1.2,2.9,4.2,6.5,5.8,4.3,8051.9,134.1,148.0,34.7
Q2 2003,3.8,5.1,5.9,6.3,6.1,-0.7,1.0,2.6,3.8,5.7,5.5,4.2,9342.4,137.0,149.0,29.1
Q3 2003,6.9,9.3,6.7,9.3,6.1,3.0,0.9,3.1,4.4,6.0,6.1,4.0,9649.7,141.0,147.0,22.7
Q4 2003,4.8,6.8,1.6,3.3,5.8,1.5,0.9,3.2,4.4,5.8,5.9,4.0,10799.6,145.9,146.0,21.1
Q1 2004,2.3,5.9,2.9,6.1,5.7,3.4,0.9,3.0,4.1,5.5,5.6,4.0,11039.4,151.6,153.0,21.6
Q2 2004,3.0,6.6,4.0,7.0,5.6,3.2,1.1,3.7,4.7,6.1,6.2,4.0,11144.6,157.9,160.0,20.0
Q3 2004,3.7,6.3,2.1,4.5,5.4,2.6,1.5,3.5,4.4,5.8,5.9,4.4,10893.8,163.2,172.0,19.3
Q4 2004,3.5,6.4,5.1,8.5,5.4,4.4,2.0,3.5,4.3,5.4,5.7,4.9,11951.5,169.2,176.0,16.6
Q1 2005,4.3,8.3,-3.8,-1.8,5.3,2.0,2.5,3.9,4.4,5.4,5.8,5.4,11637.3,177.1,176.0,14.6
Q2 2005,2.1,5.1,3.2,6.0,5.1,2.7,2.9,3.9,4.2,5.5,5.7,5.9,11856.7,184.5,182.0,17.7
Q3 2005,3.4,7.3,2.1,6.6,5.0,6.2,3.4,4.0,4.3,5.5,5.8,6.4,12282.9,190.2,187.0,14.2
Q4 2005,2.3,5.4,3.4,6.6,5.0,3.8,3.8,4.4,4.6,5.9,6.2,7.0,12497.2,194.8,195.0,16.5
Q1 2006,4.9,8.2,9.5,11.5,4.7,2.1,4.4,4.6,4.7,6.0,6.3,7.4,13121.6,198.0,200.0,14.6
Q2 2006,1.2,4.5,0.6,3.7,4.6,3.7,4.7,5.0,5.2,6.5,6.6,7.9,12808.9,197.1,209.0,23.8
Q3 2006,0.4,3.2,1.2,4.1,4.6,3.8,4.9,4.8,5.0,6.4,6.5,8.3,13322.5,195.8,219.0,18.6
Q4 2006,3.2,4.6,5.3,4.6,4.4,-1.6,4.9,4.6,4.7,6.1,6.2,8.3,14215.8,195.8,217.0,12.7
Q1 2007,0.2,4.8,2.6,6.5,4.5,4.0,5.0,4.6,4.8,6.1,6.2,8.3,14354.0,193.3,227.0,19.6
Q2 2007,3.1,5.4,0.8,4.0,4.5,4.6,4.7,4.7,4.9,6.3,6.4,8.3,15163.1,188.5,236.0,18.9
Q3 2007,2.7,4.2,1.1,3.4,4.7,2.6,4.3,4.5,4.8,6.5,6.5,8.2,15317.8,183.2,249.0,30.8
Q4 2007,1.4,3.2,0.3,4.4,4.8,5.0,3.4,3.8,4.4,6.4,6.2,7.5,14753.6,177.8,251.0,31.1
Q1 2008,-2.7,-0.5,2.9,6.5,5.0,4.4,2.1,2.8,3.9,6.5,5.9,6.2,13284.1,171.1,240.0,32.2
Q2 2008,2.0,4.0,8.7,13.3,5.3,5.3,1.6,3.2,4.1,6.8,6.1,5.1,13016.4,163.9,224.0,24.1
Q3 2008,-1.9,0.8,-8.9,-5.1,6.0,6.3,1.5,3.1,4.1,7.2,6.3,5.0,11826.0,157.4,233.0,46.7
Q4 2008,-8.2,-7.7,2.6,-3.2,6.9,-8.9,0.3,2.2,3.7,9.4,5.8,4.1,9056.7,149.5,223.0,80.9
Q1 2009,-5.4,-4.5,-0.8,-3.0,8.3,-2.7,0.2,1.9,3.2,9.0,5.0,3.3,8044.2,143.5,209.0,56.7
Q2 2009,-0.5,-1.2,2.9,4.7,9.3,2.1,0.2,2.3,3.7,8.2,5.1,3.3,9342.8,143.2,178.0,42.3
Q3 2009,1.3,1.2,-4.3,-1.9,9.6,3.5,0.2,2.5,3.8,6.8,5.1,3.3,10812.8,144.3,154.0,31.3
Q4 2009,3.9,5.2,-0.5,2.2,9.9,3.2,0.1,2.3,3.7,6.1,4.9,3.3,11385.1,145.2,155.0,30.7
Q1 2010,1.7,3.2,0.4,1.8,9.8,0.6,0.1,2.4,3.9,5.8,5.0,3.3,12032.5,145.5,150.0,27.3
Q2 2010,3.9,5.8,5.3,5.8,9.6,-0.1,0.1,2.3,3.6,5.6,4.8,3.3,10645.8,144.4,165.0,45.8
Q3 2010,2.7,4.6,2.0,3.2,9.5,1.2,0.2,1.6,2.9,5.1,4.4,3.3,11814.0,141.6,167.0,32.9
Q4 2010,2.5,4.7,2.8,5.0,9.5,3.3,0.1,1.5,3.0,5.0,4.5,3.3,13131.5,140.3,173.0,23.5
Q1 2011,-1.5,0.2,5.0,8.2,9.1,4.3,0.1,2.1,3.5,5.4,4.9,3.3,13908.5,138.5,180.0,29.4
Q2 2011,2.9,6.0,-0.6,3.5,9.1,4.7,0.0,1.8,3.3,5.1,4.6,3.3,13843.5,137.7,177.0,22.7
Q3 2011,0.8,3.3,2.1,4.3,9.0,2.6,0.0,1.1,2.5,4.9,4.2,3.3,11676.5,137.7,177.0,48.0
Q4 2011,4.6,5.2,0.2,1.6,8.6,1.7,0.0,1.0,2.1,5.0,4.0,3.3,13019.3,137.6,188.0,45.5
Q1 2012,2.7,4.9,6.7,9.2,8.3,2.2,0.1,0.9,2.1,4.7,3.9,3.3,14627.5,139.6,188.0,23.0
Q2 2012,1.9,3.8,3.1,4.4,8.2,1.0,0.1,0.8,1.8,4.5,3.8,3.3,14100.2,142.8,189.0,26.7
Q3 2012,0.5,2.7,-0.2,1.1,8.0,1.8,0.1,0.7,1.6,4.2,3.5,3.3,14894.7,145.7,197.0,20.5
Q4 2012,0.1,1.7,10.9,13.3,7.8,2.6,0.1,0.7,1.7,3.9,3.4,3.3,14834.9,149.3,198.0,22.7
Q1 2013,1.9,3.6,-15.9,-14.7,7.7,1.4,0.1,0.8,1.9,4.0,3.5,3.3,16396.2,153.8,202.0,19.0
Q2 2013,1.1,2.1,2.7,3.1,7.5,-0.1,0.1,0.9,2.0,4.1,3.7,3.3,16771.3,158.8,213.0,20.5
Q3 2013,3.0,4.9,2.2,3.9,7.2,2.3,0.0,1.5,2.7,4.9,4.4,3.3,17718.3,163.0,224.0,17.0
Q4 2013,3.8,5.6,0.6,2.0,7.0,1.4,0.1,1.4,2.8,4.8,4.3,3.3,19413.2,166.3,229.0,20.3
Q1 2014,-0.9,0.6,4.0,5.6,6.7,2.1,0.0,1.6,2.8,4.6,4.4,3.3,19711.2,169.3,230.0,21.4
Q2 2014,4.6,6.9,3.0,5.2,6.2,2.4,0.0,1.7,2.7,4.3,4.2,3.3,20568.7,170.7,239.0,17.0
Q3 2014,4.3,6.0,2.7,3.9,6.1,1.2,0.0,1.7,2.5,4.2,4.1,3.3,20458.8,172.5,245.0,17.0
Q4 2014,2.1,2.2,4.7,4.2,5.7,-0.9,0.0,1.6,2.3,4.2,3.9,3.3,21424.6,174.5,252.0,26.3
